id,name,url,status,final_url,note
"63","Equilibria Balance Drops","https://shop.myeq.com/products/daily-drops-regular-strength","200","https://shop.myeq.com/products/daily-drops-regular-strength",""
"90","Hybrid Gummies","https://hellobatch.com/products/thc-gummies?variant=43613922197712","200","https://hellobatch.com/products/thc-gummies?variant=43613922197712",""
"54","1906 Go Drops","https://1906.shop/collections/shop-all/products/go","200","https://1906.shop/collections/shop-all/products/go",""
"92","Calm CBD Oil Tincture","https://hellobatch.com/products/calm-cbd-oil-tincture","200","https://hellobatch.com/products/calm-cbd-oil-tincture",""
"76","Full Spectrum Sleep CBD Gummies 750mg","https://www.cornbreadhemp.com/products/cbd-sleep-gummies","403","https://www.cornbreadhemp.com/products/cbd-sleep-gummies",""
"78","Nighttime Gummy","https://hellobatch.com/products/cbn-gummies","200","https://hellobatch.com/products/cbn-gummies",""
"105","Fire and Ice Balm","https://hellobatch.com/products/cbd-balm-fire-ice","200","https://hellobatch.com/products/cbd-balm-fire-ice",""
"91","Original Gummies","https://hellobatch.com/products/cbd-gummies","200","https://hellobatch.com/products/cbd-gummies",""
"89","Uplift Gummies","https://hellobatch.com/products/thc-gummies?variant=43613924688080","200","https://hellobatch.com/products/thc-gummies?variant=43613924688080",""
"88","Mellow Gummies","https://hellobatch.com/products/thc-gummies?variant=43148342460624","200","https://hellobatch.com/products/thc-gummies?variant=43148342460624",""
"55","1906 Genius Drops","https://1906.shop/collections/shop-all/products/genius","200","https://1906.shop/collections/shop-all/products/genius",""
"80","CBDfx Lights Out Low Dose Sugar-Free Gummies","https://cbdx.com/products/lights-out-premium-sugar-free-sleep-gummies","200","https://cbdx.com/products/lights-out-premium-sugar-free-sleep-gummies",""
"23","Equilibria Relief Cream","https://shop.myeq.com/products/relief-balm","200","https://shop.myeq.com/products/relief-balm",""
"70","Foria Relief Suppositories","https://www.foriawellness.com/products/relief-melts-cbd","200","https://www.foriawellness.com/products/relief-melts-cbd",""
"84","Stress Watermelon Gummies","https://goldnaturalshemp.com/products/stress-relief-gummy","200","https://goldnaturalshemp.com/products/stress-relief-gummy",""
"87","Broad Spectrum 2500mg Tincture","https://partneredprocess.com/products/partnered-proof-broad-spectrum-oil-2-500mg","200","https://partneredprocess.com/products/partnered-proof-broad-spectrum-oil-2-500mg",""
"35","Cann Original — Grapefruit Rosemary","https://drinkcann.com/products/the-cann","200","https://drinkcann.com/products/the-cann",""
"96","R&R 1000mg Fresh Mint Full Spectrum Tincture","https://www.rrmeds.com/products/multifunctional-cbd-tinctures?variant=29122588934197","200","https://www.rrmeds.com/products/multifunctional-cbd-tinctures?variant=29122588934197",""
"116","Daily Moisturizing Lotion 1200mg (Hormonal)","https://partneredprocess.com/products/partners-daily-moisturizing-lotion-1200mg-cbd-unscented","200","https://partneredprocess.com/products/partners-daily-moisturizing-lotion-1200mg-cbd-unscented",""
"117","TribeTokes CBD Libido Lift Gummies","https://tribetokes.com/product-item/thc-libido-sex-gummies/","200","https://tribetokes.com/product-item/thc-libido-sex-gummies/",""
"108","R&R 1000mg Full Spectrum CBD Pain Cream","https://www.rrmeds.com/products/cbd-pain-creams?variant=42461428351174","200","https://www.rrmeds.com/products/cbd-pain-creams?variant=42461428351174",""
"94","R&R De-Stress Gummies","https://www.rrmeds.com/products/cbd-de-stress-gummies?srsltid=AfmBOor2Afcrm_PM4u0VY3z8Q5jriL2uvHa_iYiuZxy78YHYtKL7GyO_","200","https://www.rrmeds.com/products/cbd-de-stress-gummies?srsltid=AfmBOor2Afcrm_PM4u0VY3z8Q5jriL2uvHa_iYiuZxy78YHYtKL7GyO_",""
"109","R&R 2500mg Full Spectrum CBD Pain Roll-On","https://www.rrmeds.com/products/cbd-pain-roll-on","200","https://www.rrmeds.com/products/cbd-pain-creams",""
"112","Focus (Mushrooms + Adaptogens)","https://www.cornbreadhemp.com/products/mushroom-focus-gummies","403","https://www.cornbreadhemp.com/products/mushroom-focus-gummies",""
"113","CBG Oil","https://joyorganics.com/products/organic-cbg-cbd-tincture","200","https://joyorganics.com/products/organic-cbg-cbd-tincture",""
"22","Equilibria Daily Softgels","https://shop.myeq.com/products/daily-softgels-regular-strength","200","https://shop.myeq.com/products/daily-softgels-regular-strength",""
"46","Foria Awaken Arousal Oil","https://www.foriawellness.com/products/awaken-arousal-oil-cbd","200","https://www.foriawellness.com/products/awaken-arousal-oil-cbd",""
"119","R&R CBD Sleep Gummies","https://www.rrmeds.com/products/cbd-sleep-gummies","200","https://www.rrmeds.com/products/cbd-sleep-gummies",""
"118","Papa & Barkley CBD/CBN Sleep Gummies","https://www.papaandbarkley.com/products/cbd-cbn-sleep-releaf-gummies","200","https://www.papaandbarkley.com/products/cbd-cbn-sleep-releaf-gummies",""
